2018-06-29 13:35:20,320 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-29 13:35:24,789 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2018-06-29 13:35:41,502 [Worker-23] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\yyp\workspace\SpringMVCyyp\step07\Step07
2018-06-29 13:35:41,502 [Worker-23] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B tomcat7:run
2018-06-29 13:41:13,219 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-29 13:41:13,290 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-29 13:41:13,305 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-29 13:41:13,351 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-29 13:41:52,780 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-29 13:41:52,792 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-29 13:41:52,798 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-29 13:41:52,809 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-29 13:42:37,169 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-29 13:42:37,180 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-29 13:42:37,187 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-29 13:42:37,198 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-29 13:42:59,514 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-29 13:42:59,549 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-29 13:42:59,560 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-29 13:42:59,572 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-29 13:43:19,474 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-29 13:43:19,494 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-29 13:43:19,504 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-29 13:43:19,520 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-29 13:43:42,022 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-29 13:43:42,091 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-29 13:43:42,100 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-29 13:43:42,126 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
